run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,adjacent_overlap,adjacent_jaccard,weighted_overlap,lift_vs_random,recency_baseline_overlap,retention_lag1,retention_lag8,retention_lag64,retention_lag512,retention_lag1024,retention_lag2048,working_set_w64_ratio,adjacent_overlap_std,adjacent_overlap_ci_lo,adjacent_overlap_ci_hi,adjacent_overlap_n,adjacent_jaccard_std,adjacent_jaccard_ci_lo,adjacent_jaccard_ci_hi,adjacent_jaccard_n,weighted_overlap_std,weighted_overlap_ci_lo,weighted_overlap_ci_hi,weighted_overlap_n,lift_vs_random_std,lift_vs_random_ci_lo,lift_vs_random_ci_hi,lift_vs_random_n,recency_baseline_overlap_std,recency_baseline_overlap_ci_lo,recency_baseline_overlap_ci_hi,recency_baseline_overlap_n,retention_lag1_std,retention_lag1_ci_lo,retention_lag1_ci_hi,retention_lag1_n,retention_lag8_std,retention_lag8_ci_lo,retention_lag8_ci_hi,retention_lag8_n,retention_lag64_std,retention_lag64_ci_lo,retention_lag64_ci_hi,retention_lag64_n,retention_lag512_std,retention_lag512_ci_lo,retention_lag512_ci_hi,retention_lag512_n,retention_lag1024_std,retention_lag1024_ci_lo,retention_lag1024_ci_hi,retention_lag1024_n,retention_lag2048_std,retention_lag2048_ci_lo,retention_lag2048_ci_hi,retention_lag2048_n,working_set_w64_ratio_std,working_set_w64_ratio_ci_lo,working_set_w64_ratio_ci_hi,working_set_w64_ratio_n,cpu_v4_adjacent_overlap,cpu_v4_lift
glm5_ib_longbook_choice_eng_131072_s00,GLM-5,all_layers,131072,bf,infinitebench,longbook_choice_eng,119276,3,0.6827611678685898,0.5269452233647953,0.6734239750066642,39.76466922729443,0.22563393095619658,0.6827611678685898,nan,nan,nan,nan,nan,0.019907013982789133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_choice_eng_16384_s00,GLM-5,all_layers,16384,bf,infinitebench,longbook_choice_eng,13831,40,0.7693127914920282,0.6390861110834185,0.7587523726110538,5.202930846392992,0.2922591771834936,0.7693127914920282,0.6587125338040866,nan,nan,nan,nan,0.035094241606883514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_choice_eng_32768_s00,GLM-5,all_layers,32768,bf,infinitebench,longbook_choice_eng,30275,40,0.7415972928480441,0.6040102572964334,0.7297392753156142,10.970010099874994,0.2627909342447916,0.7415972928480441,0.604311038286258,nan,nan,nan,nan,0.04134200903085562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_choice_eng_65536_s00,GLM-5,all_layers,65536,bf,infinitebench,longbook_choice_eng,63105,40,0.6946834486460388,0.5521668152549287,0.6789387126595602,21.411862965558097,0.2682135166266026,0.6946834486460388,0.5576968070788261,nan,nan,nan,nan,0.04903240448389298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_choice_eng_8192_s00,GLM-5,all_layers,8192,bf,infinitebench,longbook_choice_eng,5628,40,0.856238410944691,0.7542726967220487,0.852830447288872,2.361358752539093,0.4449331430288461,0.856238410944691,0.7810831314478165,nan,nan,nan,nan,0.025954867631961136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_131072_ld00,GLM-5,all_layers,131072,ld,infinitebench,longbook_qa_eng,100850,2048,0.7469781922582299,0.6189954131227178,0.7263812540942756,37.15005995782781,0.47057205100724914,0.7469781922582299,0.6532140054180343,0.5785696413362497,0.4170950925059447,0.3026291956909463,nan,0.07125134388796794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_131072_ld01,GLM-5,all_layers,131072,ld,infinitebench,longbook_qa_eng,126891,2048,0.7214118803255659,0.5869410762212229,0.6975171866411832,45.059316357648314,0.46228677153942116,0.7214118803255659,0.6265130243617069,0.5495600552667246,0.4084066237350204,0.31305948853988685,nan,0.08323132996566784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_131072_s00,GLM-5,all_layers,131072,bf,infinitebench,longbook_qa_eng,72670,40,0.7102251422789286,0.566834680542518,0.6931662845331489,25.208287538783008,0.24304934770633016,0.7102251422789286,0.5522770025791266,nan,nan,nan,nan,0.050266275650415665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_16384_ld00,GLM-5,all_layers,16384,ld,infinitebench,longbook_qa_eng,13887,2048,0.832171955098847,0.7230509556210815,0.8148235311445947,6.063411779329802,0.5395954694503393,0.832171955098847,0.7314957577958066,0.6534888249374402,0.5068993242377908,0.38449825996007675,nan,0.045273391816478506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_16384_ld01,GLM-5,all_layers,16384,ld,infinitebench,longbook_qa_eng,13488,2048,0.8018183025424948,0.6830985000631963,0.7842967525481486,5.677539703797685,0.5166581380061614,0.8018183025424948,0.7082347749045531,0.6348524732566057,0.48792641387026536,0.37787530361077726,nan,0.04657736707192201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_16384_s00,GLM-5,all_layers,16384,bf,infinitebench,longbook_qa_eng,13915,40,0.7658168133115549,0.6321630119327343,0.7527309235981132,5.210677095340476,0.32449857271634613,0.7658168133115549,0.674461169120593,nan,nan,nan,nan,0.035436226771428034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
